id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,4,300-400 m,1083,0.21955839433845675,4932.6285303877685,7843.016001247058,0.6289198606254875
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,5,400-500 m,995,0.282289364148873,3524.751996944736,7843.016001247058,0.44941282746130984
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,6,500-600 m,1116,0.3450203339603231,3234.591965029918,7843.016001247058,0.4124168514402636
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,1,0-100 m,192,0.03136548490540953,6121.3783424367275,6121.3783424367275,1.0
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,2,100-200 m,369,0.09409645471650507,3921.508000612006,6121.3783424367275,0.6406249999981176
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,3,200-300 m,583,0.15682742452706455,3717.462055875237,6121.3783424367275,0.6072916666666013
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,4,300-400 m,540,0.21955839433845675,2459.482369722433,6121.3783424367275,0.40178571428463455
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,5,400-500 m,1197,0.282289364148873,4240.329789289296,6121.3783424367275,0.692708333332874
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,6,500-600 m,1543,0.3450203339603231,4472.200181040469,6121.3783424367275,0.7305871212103886
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,1,0-100 m,247,0.03136548490540953,7874.898180113915,7874.898180113915,1.0
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,2,100-200 m,838,0.09409645471650507,8905.755296782821,7874.898180113915,1.1309041835324396
