modelo,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Logistic Regression,0.91,0.9395649580682475,0.5157912174828156,0.3796192342857183,0.43436815110032245,0.8894875747578892,1013646,24341,42534,26039
Logistic Regression,0.92,0.9406837406015038,0.5300917392296199,0.3638804229708634,0.42856232206142614,0.8894875747578892,1015964,22023,43614,24959
Logistic Regression,0.93,0.9417736046847889,0.5462521900787098,0.3470338004518263,0.4215208985938227,0.8894875747578892,1018326,19661,44770,23803
Logistic Regression,0.94,0.9427360468478889,0.5637431034680949,0.32848958776578885,0.41231324911654593,0.8894875747578892,1020663,17324,46042,22531
Logistic Regression,0.95,0.9436171558704454,0.5834938015361281,0.3086708939927374,0.4010570214086096,0.8894875747578892,1022998,14989,47402,21171
Random Forest,0.05,0.5202402038750723,0.11260826660731145,0.9408874521424654,0.20046075977274133,0.8751135653880722,511149,526838,4045,64528
Random Forest,0.06,0.5939506217466743,0.12804626297148838,0.9200657738585838,0.22401625174037648,0.8751135653880722,594140,443847,5471,63102
Random Forest,0.07,0.6418323452862926,0.14095041745979314,0.8954803163592298,0.24245595438695178,0.8751135653880722,648808,389179,7155,61418
Random Forest,0.08,0.6850356058415269,0.1549516019308927,0.8679593202839191,0.2615230688671114,0.8751135653880722,698501,339486,9041,59532
Random Forest,0.09,0.7473982432041643,0.17852975447114727,0.8385882717025531,0.29353047866090815,0.8751135653880722,769521,268466,11053,57520
Random Forest,0.1,0.7816132880277618,0.1966680047120565,0.8048020724580338,0.3151617858151458,0.8751135653880722,809698,228289,13369,55204
Random Forest,0.11,0.8108408039329091,0.21602622802233312,0.7693010619020133,0.3363133140223351,0.8751135653880722,844474,193513,15803,52770
Random Forest,0.12,0.8354748048004627,0.2363004203975934,0.7319464653684561,0.3561355890411838,0.8751135653880722,874295,163692,18365,50208
Random Forest,0.13,0.855686090225564,0.2574664375702535,0.6969710971419153,0.37469769640781003,0.8751135653880722,899059,138928,20764,47809
Random Forest,0.14,0.8719481998264893,0.27827534881776445,0.6618322372654578,0.39021731445619595,0.8751135653880722,919464,118523,23174,45399
Random Forest,0.15,0.8852877385772123,0.2996523022734281,0.6288940726734731,0.40397444177740105,0.8751135653880722,936485,101502,25434,43139
Random Forest,0.16,0.895965876229034,0.3204715855904582,0.5977676467936719,0.4149461809967617,0.8751135653880722,950437,87550,27570,41003
Random Forest,0.17,0.9047290702718334,0.341173554654133,0.5685815656602601,0.42376952950121394,0.8751135653880722,962137,75850,29573,39000
Random Forest,0.18,0.9116667871602082,0.36103652181844553,0.543009697978061,0.43055552504096617,0.8751135653880722,971569,66418,31328,37245
Random Forest,0.19,0.9173338996529786,0.38007614427905706,0.518531149780287,0.4350766722923905,0.8751135653880722,979520,58467,33008,35565
Random Forest,0.2,0.9220602588201272,0.39897632307371844,0.4967828801955683,0.4385984673934792,0.8751135653880722,986241,51746,34499,34074
Random Forest,0.21,0.9257663389242337,0.4159256050968686,0.47602713563709775,0.4396786534755946,0.8751135653880722,991765,46222,35922,32651
Random Forest,0.22,0.9287801836321574,0.4315555296542496,0.4562487770496298,0.43904999116562066,0.8751135653880722,996456,41531,37278,31295
Random Forest,0.23,0.9313936885482939,0.44747816708750976,0.43845289573380075,0.4381914089894844,0.8751135653880722,1000568,37419,38498,30075
Random Forest,0.24,0.933614083285136,0.46266681605037097,0.4227243269729618,0.43704030237828456,0.8751135653880722,1004103,33884,39576,28997
Random Forest,0.25,0.9354513085598611,0.47684160030308725,0.4080099673792737,0.43498932502875337,0.8751135653880722,1007145,30842,40585,27988
Random Forest,0.26,0.9369975419317524,0.4902291735938758,0.3935045023608284,0.4318780080613103,0.8751135653880722,1009850,28137,41579,26994
Random Forest,0.27,0.938330501735107,0.5034852795586653,0.3805504705219553,0.4287477591743258,0.8751135653880722,1012213,25774,42467,26106
Random Forest,0.28,0.939550498843262,0.5170965935071569,0.3683839980972864,0.4255893299273062,0.8751135653880722,1014397,23590,43301,25272
Random Forest,0.29,0.9405608371891268,0.5299342350599274,0.35669822090034076,0.42188225076526303,0.8751135653880722,1016316,21671,44102,24471
Random Forest,0.3,0.9413506723539617,0.5417809594506001,0.34537462198783253,0.41739809828890906,0.8751135653880722,1017966,20021,44878,23695
Random Forest,0.31,0.9421133964719491,0.5537347839072674,0.3353227286922432,0.4133790606677958,0.8751135653880722,1019499,18488,45567,23006
Random Forest,0.32,0.942769483805668,0.5655960478380224,0.3254225308884492,0.4088927849841194,0.8751135653880722,1020904,17083,46246,22327
Random Forest,0.33,0.943318030653557,0.5769881019470178,0.31573345428313315,0.40400424394085477,0.8751135653880722,1022176,15811,46911,21662
Random Forest,0.34,0.9437942813765183,0.5879932378940218,0.3065276389031556,0.3989735189194138,0.8751135653880722,1023334,14653,47542,21031
Random Forest,0.35,0.944162087912088,0.5984031218728821,0.2978284401672656,0.3936554039435847,0.8751135653880722,1024337,13650,48138,20435
Random Forest,0.36,0.9445561017929439,0.6100163078282088,0.28958302240399025,0.38869288323654105,0.8751135653880722,1025338,12649,48703,19870
Random Forest,0.37,0.9448217900520532,0.6199687125485901,0.28104957500659034,0.38274802912835126,0.8751135653880722,1026217,11770,49288,19285
Random Forest,0.38,0.9450269303065355,0.6295016136022996,0.27286644191580006,0.3766652134273544,0.8751135653880722,1027005,10982,49849,18724
Random Forest,0.39,0.9451995373048006,0.6386752429207924,0.26496178626008904,0.370588353140478,0.8751135653880722,1027738,10249,50391,18182
Random Forest,0.4,0.9453585887796414,0.6482468877920555,0.2573063339135008,0.3644703390365619,0.8751135653880722,1028439,9548,50916,17657
Random Forest,0.41,0.9455266772700984,0.6579572700408525,0.2505514597306893,0.3590370906777284,0.8751135653880722,1029088,8899,51379,17194
Random Forest,0.42,0.945686632446501,0.6684059141636106,0.24400114575670123,0.35359990420422704,0.8751135653880722,1029714,8273,51828,16745
Random Forest,0.43,0.9457670618854829,0.6774438536999423,0.2372306538012941,0.3476395002525189,0.8751135653880722,1030268,7719,52293,16280
Random Forest,0.44,0.945856528340081,0.6877357226615234,0.23086674485438272,0.34199785492293655,0.8751135653880722,1030804,7183,52730,15843
Random Forest,0.45,0.945917076344708,0.6970024170120522,0.22491671079112985,0.33643083761946846,0.8751135653880722,1031279,6708,53138,15435
Random Forest,0.46,0.9459152689415846,0.7050013696954596,0.2185031572619538,0.3299672864302729,0.8751135653880722,1031717,6270,53578,14995
Random Forest,0.47,0.945899002313476,0.7128739284712584,0.21264322695305965,0.3239541085550102,0.8751135653880722,1032101,5886,53980,14593
Random Forest,0.48,0.9459152689415846,0.7213691719702708,0.20741206949919128,0.3186264964831756,0.8751135653880722,1032478,5509,54339,14234
Random Forest,0.49,0.945930631868132,0.7306044130267223,0.20209631470994505,0.31320057107014837,0.8751135653880722,1032860,5127,54704,13869
Random Forest,0.5,0.9458872541931752,0.7378179732928867,0.19666512092578808,0.30725255520459627,0.8751135653880722,1033185,4802,55077,13496
