id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,dens_rel
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,1,0-300 m,1202,0.28228936414897915,4258.042110880382,4258.042110880382,1.0
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,2,300-600 m,4153,0.8468680924476529,4903.951438289319,4258.042110880382,1.1516916250683558
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,3,600-900 m,5195,1.4114468207453075,3680.6204269579252,4258.042110880382,0.8643926788683002
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,4,900-1200 m,7391,1.9760255490442793,3740.3362540401954,4258.042110880382,0.8784169241733621
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,1,0-300 m,202,0.28228936414897915,715.5777923442905,715.5777923442905,1.0
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,2,300-600 m,340,0.8468680924476529,401.47928943375115,715.5777923442905,0.561056105610087
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,3,600-900 m,1283,1.4114468207453075,908.9963441360959,715.5777923442905,1.2702970297025997
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,4,900-1200 m,1147,1.9760255490442793,580.4580819082809,715.5777923442905,0.8111739745397261
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,1,0-300 m,649,0.28228936414897915,2299.059342729923,2299.059342729923,1.0
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,2,300-600 m,2014,0.8468680924476529,2378.17437917522,2299.059342729923,1.034411915766974
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,3,600-900 m,3163,1.4114468207453075,2240.962927905278,2299.059342729923,0.9747303543910871
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,4,900-1200 m,5042,1.9760255490442793,2551.5864420065845,2299.059342729923,1.1098393132283435
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,1,0-300 m,1735,0.28228936414897915,6146.175592660119,6146.175592660119,1.0
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,2,300-600 m,5197,0.8468680924476529,6136.729021138838,6146.175592660119,0.9984630163296079
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,3,600-900 m,8200,1.4114468207453075,5809.641482397496,6146.175592660119,0.9452449567720586
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,4,900-1200 m,8757,1.9760255490442793,4431.622862485454,6146.175592660119,0.7210374639764251
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,1,0-300 m,797,0.28228936414897915,2823.3440618732648,2823.3440618732648,1.0
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,2,300-600 m,2230,0.8468680924476529,2633.2318101096034,2823.3440618732648,0.9326641572555903
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,3,600-900 m,4196,1.4114468207453075,2972.836056114621,2823.3440618732648,1.052948557088777
