id,nombre,anillo,distancia,radio_in,radio_out,cantidad_delitos,area_m2,area_km2,densidad_delitos_km2
6,Comisaria Vecinal 3-A,3,600-900 m,600,900,18802,1411446.8207453075,1.4114468207453075,13321.082823419232
6,Comisaria Vecinal 3-A,4,900-1200 m,900,1200,20862,1976025.5490442794,1.9760255490442793,10557.555801892377
35,Comisaria Vecinal 3-A (edificio anexo),1,0-300 m,0,300,2093,282289.36414897913,0.28228936414897915,7414.37781869604
35,Comisaria Vecinal 3-A (edificio anexo),2,300-600 m,300,600,5094,846868.092447653,0.8468680924476529,6015.104412869201
35,Comisaria Vecinal 3-A (edificio anexo),3,600-900 m,600,900,8413,1411446.8207453075,1.4114468207453075,5960.550462367089
35,Comisaria Vecinal 3-A (edificio anexo),4,900-1200 m,900,1200,17149,1976025.5490442794,1.9760255490442793,8678.531514075945
7,Comisaria Comunal 5,1,0-300 m,0,300,3046,282289.36414897913,0.28228936414897915,10790.346314260934
7,Comisaria Comunal 5,2,300-600 m,300,600,9961,846868.092447653,0.8468680924476529,11762.162358969399
7,Comisaria Comunal 5,3,600-900 m,600,900,12635,1411446.8207453075,1.4114468207453075,8951.807332938091
7,Comisaria Comunal 5,4,900-1200 m,900,1200,21299,1976025.5490442794,1.9760255490442793,10778.706788635112
56,Comisaria Comunal 12,1,0-300 m,0,300,610,282289.36414897913,0.28228936414897915,2160.9032343070157
56,Comisaria Comunal 12,2,300-600 m,300,600,1896,846868.092447653,0.8468680924476529,2238.837449312918
56,Comisaria Comunal 12,3,600-900 m,600,900,2858,1411446.8207453075,1.4114468207453075,2024.8726044746393
56,Comisaria Comunal 12,4,900-1200 m,900,1200,2642,1976025.5490442794,1.9760255490442793,1337.0272470808004
57,Comisaria Comunal 15,1,0-300 m,0,300,1112,282289.36414897913,0.28228936414897915,3939.220322212134
57,Comisaria Comunal 15,2,300-600 m,300,600,2798,846868.092447653,0.8468680924476529,3303.93838775187
57,Comisaria Comunal 15,3,600-900 m,600,900,4740,1411446.8207453075,1.4114468207453075,3358.256173971235
57,Comisaria Comunal 15,4,900-1200 m,900,1200,6231,1976025.5490442794,1.9760255490442793,3153.2993098260663
55,Comisaria Comunal 4,1,0-300 m,0,300,932,282289.36414897913,0.28228936414897915,3301.5767448756374
55,Comisaria Comunal 4,2,300-600 m,300,600,2224,846868.092447653,0.8468680924476529,2626.146881472537
55,Comisaria Comunal 4,3,600-900 m,600,900,4144,1411446.8207453075,1.4114468207453075,2935.994427201856
55,Comisaria Comunal 4,4,900-1200 m,900,1200,5564,1976025.5490442794,1.9760255490442793,2815.7530669029425
