id_cajero,densidad_1,densidad_2,densidad_3,id_original,banco,red,barrio,comuna,tipo
259,765.1722928040539,0.0,0.0,11004,BANCO DE LA NACION ARGENTINA,LINK,Retiro,Comuna 1,A (0-50m)
260,8161.837789909908,6716.512347952981,2754.620254093498,11783,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
261,60448.61113152026,5356.20604963339,3953.3901794860385,11782,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
262,20659.651905709456,1360.3062983195912,280.56317402804143,10997,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
263,11732.641822995492,1785.4020165444633,484.60911877570794,11207,BANCO PIANO S.A.,LINK,Villa Crespo,Comuna 15,A (0-50m)
264,3060.6891712162155,977.7201519172061,1020.2297237383325,10970,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Floresta,Comuna 10,A (0-50m)
265,1785.4020165427924,1700.3828728994888,714.1608066168327,10972,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Monte Castro,Comuna 10,A (0-50m)
266,5738.792196030404,2082.9690193018737,2448.551336971998,11511,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Barracas,Comuna 4,A (0-50m)
267,4973.61990322635,1870.4211601894378,1326.2986408598322,11227,CABAL COOP. LTDA.,LINK,Villa Ortuzar,Comuna 15,A (0-50m)
268,7651.722928040538,510.11486186984666,306.06891712149974,11095,BANCO PIANO S.A.,LINK,Villa Urquiza,Comuna 12,A (0-50m)
269,2295.5168784121615,42.509571822487224,204.04594474766648,11102,BANCO HIPOTECARIO S.A.,LINK,Villa Urquiza,Comuna 12,A (0-50m)
