id_celda,area_km2,delitos_ponderados,cant_estaciones_tren,densidad_delitos,densidad_estaciones_tren
1668,0.25,592.75,0.0,2371.0,0.0
1669,0.25,1057.95,0.0,4231.8,0.0
1670,0.25,420.05,0.0,1680.2,0.0
1671,0.25,306.65,0.0,1226.6,0.0
1672,0.25,432.9,0.0,1731.6,0.0
1673,0.25,263.5,0.0,1054.0,0.0
1674,0.25,263.45,0.0,1053.8,0.0
1675,0.25,389.35,0.0,1557.4,0.0
1676,0.25,404.3,0.0,1617.2,0.0
1677,0.25,221.15,0.0,884.6,0.0
1678,0.25,32.05,0.0,128.2,0.0
1679,0.25,15.05,0.0,60.2,0.0
1680,0.25,67.75,0.0,271.0,0.0
1681,0.25,175.65,0.0,702.6,0.0
1682,0.25,217.6,0.0,870.4,0.0
1683,0.25,193.05,0.0,772.2,0.0
1684,0.25,72.85,0.0,291.4,0.0
1685,0.25,144.95,1.0,579.8,4.0
1686,0.25,366.6,0.0,1466.4,0.0
1687,0.25,504.15,0.0,2016.6,0.0
1688,0.25,527.35,0.0,2109.4,0.0
1689,0.25,768.8,0.0,3075.2,0.0
1690,0.25,356.3,0.0,1425.2,0.0
1691,0.25,254.1,1.0,1016.4,4.0
1692,0.25,300.3,0.0,1201.2,0.0
1693,0.25,98.65,0.0,394.6,0.0
1694,0.25,26.35,0.0,105.4,0.0
1695,0.25,0.5,0.0,2.0,0.0
1706,0.25,2.75,0.0,11.0,0.0
1707,0.25,18.25,0.0,73.0,0.0
1708,0.25,272.65,0.0,1090.6,0.0
1709,0.25,84.95,0.0,339.8,0.0
1710,0.25,6.5,0.0,26.0,0.0
1711,0.25,121.8,0.0,487.2,0.0
1712,0.25,431.4,0.0,1725.6,0.0
1714,0.25,34.1,0.0,136.4,0.0
1715,0.25,21.4,0.0,85.6,0.0
