id_celda,area_km2,delitos_ponderados,cant_paradas,densidad_delitos,densidad_paradas
4195,0.0625,134.6,5.0,2153.6,80.0
4196,0.0625,78.45,1.0,1255.2,16.0
4197,0.0625,45.5,0.0,728.0,0.0
4198,0.0625,36.65,0.0,586.4,0.0
4199,0.0625,31.35,0.0,501.6,0.0
4200,0.0625,40.55,1.0,648.8,16.0
4201,0.0625,56.55,1.0,904.8,16.0
4202,0.0625,54.4,2.0,870.4,32.0
4203,0.0625,27.05,0.0,432.8,0.0
4204,0.0625,40.8,0.0,652.8,0.0
4205,0.0625,22.7,0.0,363.2,0.0
4206,0.0625,26.8,2.0,428.8,32.0
4207,0.0625,37.75,0.0,604.0,0.0
4208,0.0625,13.05,1.0,208.8,16.0
4209,0.0625,0.15,1.0,2.4,16.0
4232,0.0625,0.15,0.0,2.4,0.0
4268,0.0625,26.1,0.0,417.6,0.0
4269,0.0625,59.45,0.0,951.2,0.0
4270,0.0625,51.3,1.0,820.8,16.0
4271,0.0625,41.4,1.0,662.4,16.0
4272,0.0625,60.6,0.0,969.6,0.0
4273,0.0625,101.05,4.0,1616.8,64.0
4274,0.0625,48.45,0.0,775.2,0.0
4275,0.0625,71.2,1.0,1139.2,16.0
4276,0.0625,48.15,0.0,770.4,0.0
4277,0.0625,38.9,1.0,622.4,16.0
4278,0.0625,46.85,1.0,749.6,16.0
4279,0.0625,37.25,0.0,596.0,0.0
4280,0.0625,45.85,0.0,733.6,0.0
4281,0.0625,52.35,1.0,837.6,16.0
4282,0.0625,40.95,0.0,655.2,0.0
4283,0.0625,93.4,3.0,1494.4,48.0
4284,0.0625,43.55,0.0,696.8,0.0
4286,0.0625,28.45,0.0,455.2,0.0
4287,0.0625,49.0,3.0,784.0,48.0
4288,0.0625,41.1,0.0,657.6,0.0
4289,0.0625,41.95,0.0,671.2,0.0
4290,0.0625,36.95,0.0,591.2,0.0
4291,0.0625,86.9,1.0,1390.4,16.0
4292,0.0625,77.35,4.0,1237.6,64.0
4293,0.0625,56.5,0.0,904.0,0.0
4294,0.0625,31.25,0.0,500.0,0.0
4295,0.0625,66.15,2.0,1058.4,32.0
4296,0.0625,41.65,0.0,666.4,0.0
4297,0.0625,43.4,1.0,694.4,16.0
4298,0.0625,53.4,0.0,854.4,0.0
4299,0.0625,54.9,0.0,878.4,0.0
4300,0.0625,55.45,0.0,887.2,0.0
4301,0.0625,78.7,1.0,1259.2,16.0
4302,0.0625,64.1,4.0,1025.6,64.0
4303,0.0625,44.45,1.0,711.2,16.0
4304,0.0625,85.8,3.0,1372.8,48.0
4305,0.0625,116.55,2.0,1864.8,32.0
4306,0.0625,45.05,2.0,720.8,32.0
4307,0.0625,68.55,2.0,1096.8,32.0
4308,0.0625,41.85,1.0,669.6,16.0
4309,0.0625,91.45,5.0,1463.2,80.0
4310,0.0625,47.95,2.0,767.2,32.0
4311,0.0625,50.85,0.0,813.6,0.0
4312,0.0625,58.6,1.0,937.6,16.0
4313,0.0625,58.5,1.0,936.0,16.0
4314,0.0625,26.55,1.0,424.8,16.0
4315,0.0625,34.0,1.0,544.0,16.0
4316,0.0625,35.1,1.0,561.6,16.0
4317,0.0625,45.15,3.0,722.4,48.0
4318,0.0625,23.4,1.0,374.4,16.0
4319,0.0625,15.65,2.0,250.4,32.0
4320,0.0625,2.25,0.0,36.0,0.0
4321,0.0625,0.0,1.0,0.0,16.0
4376,0.0625,48.85,0.0,781.6,0.0
4377,0.0625,66.35,0.0,1061.6,0.0
4378,0.0625,42.35,0.0,677.6,0.0
4379,0.0625,55.55,1.0,888.8,16.0
4380,0.0625,37.85,1.0,605.6,16.0
4381,0.0625,66.55,0.0,1064.8,0.0
4382,0.0625,55.45,0.0,887.2,0.0
4383,0.0625,107.85,1.0,1725.6,16.0
4384,0.0625,68.65,2.0,1098.4,32.0
4385,0.0625,52.5,0.0,840.0,0.0
4386,0.0625,41.3,0.0,660.8,0.0
4387,0.0625,54.45,1.0,871.2,16.0
4388,0.0625,64.6,0.0,1033.6,0.0
4389,0.0625,40.25,2.0,644.0,32.0
4390,0.0625,42.3,0.0,676.8,0.0
4391,0.0625,79.05,0.0,1264.8,0.0
4392,0.0625,81.7,5.0,1307.2,80.0
4393,0.0625,88.75,3.0,1420.0,48.0
4394,0.0625,11.05,0.0,176.8,0.0
4395,0.0625,55.3,0.0,884.8,0.0
4396,0.0625,43.2,2.0,691.2,32.0
4397,0.0625,55.3,0.0,884.8,0.0
4398,0.0625,54.15,0.0,866.4,0.0
4399,0.0625,51.65,2.0,826.4,32.0
4400,0.0625,52.75,0.0,844.0,0.0
4401,0.0625,58.65,0.0,938.4,0.0
4402,0.0625,69.15,3.0,1106.4,48.0
4403,0.0625,51.8,2.0,828.8,32.0
4404,0.0625,14.4,0.0,230.4,0.0
4405,0.0625,25.05,1.0,400.8,16.0
4406,0.0625,54.05,2.0,864.8,32.0
4407,0.0625,66.2,2.0,1059.2,32.0
4408,0.0625,43.45,1.0,695.2,16.0
4409,0.0625,58.45,1.0,935.2,16.0
4410,0.0625,60.8,2.0,972.8,32.0
4411,0.0625,63.55,3.0,1016.8,48.0
4412,0.0625,81.6,0.0,1305.6,0.0
4413,0.0625,38.3,0.0,612.8,0.0
4414,0.0625,39.3,1.0,628.8,16.0
4415,0.0625,41.55,0.0,664.8,0.0
4416,0.0625,51.05,0.0,816.8,0.0
4417,0.0625,100.3,0.0,1604.8,0.0
4418,0.0625,60.6,0.0,969.6,0.0
4419,0.0625,79.2,0.0,1267.2,0.0
